Date,Price,Open,High,Low,Vol.,Change %
4/9/2020,7.28,7.475,7.525,7.235,0.21K,0.28%
4/8/2020,7.26,7.3,7.4,7.26,0.49K,-0.34%
4/7/2020,7.285,7.4,7.5,7.3,0.16K,0.00%
4/6/2020,7.285,6.8,7.4,6.8,0.09K,5.27%
4/3/2020,6.92,6.825,7.025,6.775,0.44K,-0.22%
4/2/2020,6.935,7.275,7.275,6.86,0.41K,1.61%
4/1/2020,6.825,6.725,6.85,6.725,1.02K,-1.09%
3/31/2020,6.9,7.1,7.175,7.1,0.09K,0.07%
3/30/2020,6.895,6.895,6.895,6.895,0.18K,-4.50%
3/27/2020,7.22,7.25,7.335,7.17,1.00K,-4.69%
3/26/2020,7.575,7.58,7.605,7.58,0.61K,-2.19%
3/25/2020,7.745,7.765,7.765,7.765,0.06K,-2.09%
3/24/2020,7.91,8.05,8.1,7.86,0.19K,0.76%
3/23/2020,7.85,8.02,8.02,7.935,0.15K,-5.36%
3/20/2020,8.295,8.295,8.295,8.295,0.08K,-2.93%
3/19/2020,8.545,8.425,8.55,8.365,0.37K,3.39%
3/18/2020,8.265,8.3,8.32,8.165,0.93K,-2.42%
3/17/2020,8.47,8.775,8.775,8.425,0.74K,-3.09%
3/16/2020,8.74,8.7,8.77,8.645,0.62K,-5.87%
3/13/2020,9.285,9.36,9.635,9.255,0.35K,-0.43%
3/12/2020,9.325,9.1,9.39,9.1,0.44K,-0.48%
3/11/2020,9.37,8.975,9.38,8.975,0.29K,4.17%
3/10/2020,8.995,8.875,9.05,8.84,0.68K,4.29%
3/9/2020,8.625,8.275,8.625,8.275,0.41K,-0.23%
3/6/2020,8.645,8.775,8.775,8.56,0.44K,-2.32%
3/5/2020,8.85,8.9,8.9,8.825,0.91K,-0.67%
3/4/2020,8.91,8.975,9.055,8.825,2.14K,-2.84%
3/3/2020,9.17,9.02,9.21,9.02,0.45K,3.21%
3/2/2020,8.885,9,9.05,8.795,1.62K,0.11%
2/28/2020,8.875,8.65,8.95,8.65,0.17K,0.06%
2/27/2020,8.87,8.87,8.87,8.87,,-2.21%
2/26/2020,9.07,8.875,9.075,8.8,0.35K,0.72%
2/25/2020,9.005,9,9,8.925,0.70K,-0.44%
2/24/2020,9.045,9.21,9.21,9.125,0.26K,-3.88%
2/21/2020,9.41,9.3,9.51,9.3,0.07K,-1.62%
2/20/2020,9.565,9.575,9.575,9.375,0.19K,-0.05%
2/19/2020,9.57,9.225,9.545,9.225,0.12K,2.03%
2/18/2020,9.38,9.2,9.49,9.2,0.21K,5.63%
2/14/2020,8.88,8.925,8.925,8.925,0.02K,-0.11%
2/13/2020,8.89,8.575,8.8,8.575,0.18K,1.95%
2/12/2020,8.72,8.575,8.765,8.575,0.07K,1.93%
2/11/2020,8.555,8.5,8.65,8.5,0.14K,-1.04%
2/10/2020,8.645,8.775,8.775,8.575,0.14K,-4.69%
2/7/2020,9.07,9.22,9.22,8.985,0.06K,-0.87%
2/6/2020,9.15,8.925,9.195,8.925,0.20K,-1.77%
2/5/2020,9.315,9.435,9.435,9.28,0.09K,-0.53%
2/4/2020,9.365,9.285,9.385,9.1,0.34K,1.68%
2/3/2020,9.21,9.6,9.6,9.19,0.17K,-5.59%
1/31/2020,9.755,9.975,10.01,9.93,0.02K,-0.26%
1/30/2020,9.78,10,10,10,0.17K,-3.65%
1/29/2020,10.15,10.675,10.675,10.335,0.10K,-5.93%
1/28/2020,10.79,10.8,10.8,10.75,0.05K,2.52%
1/27/2020,10.525,10.505,10.585,10.475,0.11K,0.67%
1/24/2020,10.455,10.63,10.63,10.485,0.15K,0.24%
1/23/2020,10.43,10.375,10.45,10.23,0.26K,-0.24%
1/22/2020,10.455,10.66,10.66,10.37,0.49K,-2.97%
1/21/2020,10.775,10.665,10.945,10.6,0.28K,-1.42%
1/17/2020,10.93,11.05,11.05,10.94,0.15K,-1.66%
1/16/2020,11.115,11.425,11.425,11.015,0.19K,-0.58%
1/15/2020,11.18,11.275,11.3,11.2,0.12K,-1.11%
1/14/2020,11.305,12.025,12.025,11.69,0.07K,-6.22%
1/13/2020,12.055,12.15,12.15,12.075,0.40K,0.96%
1/10/2020,11.94,12.2,12.225,11.95,1.15K,-1.97%
1/9/2020,12.18,11.925,12.25,11.925,1.14K,1.80%
1/8/2020,11.965,11.835,12.05,11.825,0.64K,0.29%
1/7/2020,11.93,11.95,12.15,11.865,0.52K,-2.85%
1/6/2020,12.28,12.695,12.7,12.695,0.03K,-5.43%
1/3/2020,12.985,12.405,12.75,12.405,0.25K,7.54%
1/2/2020,12.075,12.435,12.46,12.135,0.44K,0.21%
12/31/2019,12.05,12.05,12.05,12.05,,-1.99%
12/30/2019,12.295,12.295,12.295,12.295,,-3.68%
12/27/2019,12.765,12.765,12.765,12.765,,1.27%
12/26/2019,12.605,12.605,12.605,12.605,,0.00%
12/24/2019,12.605,12.61,12.61,12.61,0.02K,-3.22%
12/23/2019,13.025,13.21,13.21,13.065,0.06K,-8.50%
12/20/2019,14.235,14.075,14.215,14.025,0.09K,-5.13%
12/19/2019,15.005,14.4,14.975,14.4,0.45K,0.37%
12/18/2019,14.95,14.35,15.01,14.35,1.03K,3.39%
12/17/2019,14.46,14.47,14.5,14.46,0.19K,4.10%
12/16/2019,13.89,13.95,13.95,13.94,0.14K,0.62%
12/13/2019,13.805,14.23,14.32,13.8,0.31K,-6.53%
12/12/2019,14.77,14.15,14.75,14.15,0.51K,5.16%
12/11/2019,14.045,14.17,14.17,14.015,0.18K,-3.34%
12/10/2019,14.53,14.37,14.5,14.31,0.20K,-2.42%
12/9/2019,14.89,14.775,14.95,14.74,0.33K,-1.65%
12/6/2019,15.14,15.175,15.275,15.1,0.39K,-1.78%
12/5/2019,15.415,15.6,15.675,15.575,0.37K,-2.93%
12/4/2019,15.88,15.6,15.9,15.6,0.56K,0.70%
12/3/2019,15.77,15.675,15.835,15.675,0.35K,-0.25%
12/2/2019,15.81,15.955,16,15.8,0.17K,-3.18%
11/29/2019,16.33,16.33,16.33,16.33,,2.19%
11/27/2019,15.98,15.95,16.1,15.875,0.22K,0.82%
11/26/2019,15.85,16,16.045,15.855,0.07K,-2.37%
11/25/2019,16.235,16.475,16.475,16.275,0.09K,1.15%
11/22/2019,16.05,16,16.15,15.95,0.35K,2.72%
11/21/2019,15.625,15.675,15.8,15.65,0.46K,0.22%
11/20/2019,15.59,15.3,15.525,15.25,0.11K,1.96%
11/19/2019,15.29,15.15,15.4,15.15,0.32K,0.39%
11/18/2019,15.23,15.375,15.4,15.175,0.44K,-3.09%
11/15/2019,15.715,15.4,15.725,15.4,0.46K,0.29%
11/14/2019,15.67,15.45,15.7,15.45,0.75K,1.42%
11/13/2019,15.45,15.275,15.475,15.275,0.16K,-0.61%
11/12/2019,15.545,15.6,15.6,15.48,0.39K,-1.89%
11/11/2019,15.845,15.875,15.925,15.825,0.62K,-0.60%
11/8/2019,15.94,16.175,16.2,15.875,0.18K,-1.12%
11/7/2019,16.12,16.225,16.3,16.14,0.64K,-0.98%
11/6/2019,16.28,16.575,16.575,16.3,0.85K,-3.04%
11/5/2019,16.79,16.75,16.905,16.7,1.08K,1.88%
11/4/2019,16.48,16.3,16.675,16.15,1.05K,1.89%
11/1/2019,16.175,16.35,16.35,16.175,0.52K,0.25%
10/31/2019,16.135,16.05,16.175,16.025,0.32K,17.09%
10/30/2019,13.78,13.625,13.625,13.625,0.06K,-0.40%
10/29/2019,13.835,14.5,14.5,14.4,0.15K,-3.86%
10/28/2019,14.39,14.575,14.65,14.45,0.34K,-5.55%
